"","TO1000ID","TO1000Chr","TO1000Strand","TO1000Start","TO1000Stop","TO1000_tName","TO1000Exons","TO1000Length","TO1000GeneID","TO1000GeneName","TO1000Cov","TO1000FPKM","TO1000TPM","R500_tName","BlockSize","R500ID","R500Chr","R500Strand","R500Start","R500Stop","R500Exons","R500Length","R500GeneID","R500GeneName","R500Cov","R500FPKM","R500TPM","Generation","SumTPM","L2FC","Bias","R500TPMRatio","TO1000TPMRatio","R500RollMeanTPM","TO1000RollMeanTPM"
"84",1,"C1","+",5435589,5442355,"Bo1g016640.1",11,1422,"Bo1g016640",".",43.947254,34.404232,30.422596,"maker-A01-augustus-gene-0.51-mRNA-1",2130,1,"1","+",1305,6877,12,2553,"maker-A01-augustus-gene-0.51",".",11.508869,27.814854,60.410622,"S5",90.833218,-0.966685840724947,"Nonbiased",0.66507191234819,0.33492808765181,0.806812080512723,0.193187919487277
"85",2,"C1","+",5461837,5462922,"Bo1g016650.1",1,1086,"Bo1g016650",".",20.207182,15.81925,13.988471,"augustus_masked-A01-processed-gene-0.1-mRNA-1",1590,2,"1","+",16285,17370,1,1086,"augustus_masked-A01-processed-gene-0.1",".",11.502763,27.800097,60.378571,"S5",74.367042,-2.03388183878182,"Nonbiased",0.811899591219454,0.188100408780546,0.790412239560494,0.209587760439506
"86",4,"C1","-",5480095,5481217,"Bo1g016670.1",6,639,"Bo1g016670",".",72.879501,57.053928,50.451015,"maker-A01-augustus-gene-0.62-mRNA-1",949,4,"1","-",29338,31121,8,1096,"maker-A01-augustus-gene-0.62",".",8.437675,20.392336,44.289772,"S5",94.740787,0.184014261649344,"Nonbiased",0.467483682608632,0.532516317391368,0.774404217437526,0.225595782562474
"87",6,"C1","+",5614836,5616285,"Bo1g016790.1",5,1014,"Bo1g016790",".",7.439842,5.824302,5.150249,"maker-A01-augustus-gene-1.37-mRNA-1",1460,10,"1","+",185882,187705,5,1388,"maker-A01-augustus-gene-1.37",".",6.5759,15.892761,34.517223,"S5",39.667472,-2.5298020595584,"Nonbiased",0.870164425905437,0.129835574094563,0.767162929781339,0.232837070218661
"88",7,"C1","-",5641517,5644944,"Bo1g016860.1",6,3036,"Bo1g016860",".",187.949432,147.136749,130.108459,"augustus_masked-A01-processed-gene-2.1-mRNA-1",4190,11,"1","-",186529,196269,16,6880,"augustus_masked-A01-processed-gene-2.1",".",85.306641,206.170715,447.778748,"S5",577.887207,-1.77524358852514,"Nonbiased",0.774854924241298,0.225145075758703,0.762496384447553,0.237503615552447
"89",12,"C1","-",5692709,5693155,"Bo1g016940.1",1,447,"Bo1g016940",".",10.127517,7.928355,7.010798,"augustus_masked-A01-processed-gene-2.10-mRNA-1",515,16,"1","-",219387,219734,1,348,"augustus_masked-A01-processed-gene-2.10",".",11.695402,28.265671,61.389744,"S5",68.400542,-2.96129101996534,"Nonbiased",0.89750376539414,0.10249623460586,0.756748056452218,0.243251943547782
"90",13,"C1","-",5726750,5734100,"Bo1g016960.1",14,4290,"Bo1g016960",".",4.845914,3.793638,3.354596,"maker-A01-snap-gene-2.84-mRNA-1",2530,17,"1","-",225384,234248,16,5831,"maker-A01-snap-gene-2.84",".",2.419206,5.846783,12.698531,"S5",16.053127,-1.65341040674067,"Nonbiased",0.79103161645703,0.20896838354297,0.749610479279484,0.250389520720516
"91",17,"C1","+",5755040,5756359,"Bo1g017000.1",2,1257,"Bo1g017000",".",20.377884,15.952885,14.10664,"maker-A01-snap-gene-2.76-mRNA-1",824,21,"1","+",251928,254245,4,1856,"maker-A01-snap-gene-2.76",".",7.803823,18.860428,40.96265,"S5",55.06929,-1.47392297524686,"Nonbiased",0.743838353463428,0.256161646536572,0.747442191395074,0.252557808604926
"92",21,"C1","-",5792760,5794095,"Bo1g017060.1",8,627,"Bo1g017060",".",42.577358,33.331806,29.474281,"maker-A01-augustus-gene-2.73-mRNA-1",920,25,"1","-",282067,284033,8,1287,"maker-A01-augustus-gene-2.73",".",0.266307,0.643616,1.397859,"S5",30.87214,3.66777345043621,"BnC Biased",0.0452789796884829,0.954721020311517,0.733024482760499,0.266975517239501
"93",22,"C1","+",5794318,5795657,"Bo1g017070.1",8,501,"Bo1g017070",".",63.644711,49.82444,44.058208,"maker-A01-snap-gene-2.77-mRNA-1",625,26,"1","+",283768,286021,8,1468,"maker-A01-snap-gene-2.77",".",0.866485,2.094137,4.548223,"S5",48.606431,3.02169225735742,"Nonbiased",0.0935724534064227,0.906427546593577,0.728591100316086,0.271408899683914
"94",24,"C1","-",5828291,5830640,"Bo1g017120.1",5,1086,"Bo1g017120",".",206.081955,161.331848,142.660736,"maker-A01-augustus-gene-3.57-mRNA-1",541,28,"1","-",312276,312931,2,569,"maker-A01-augustus-gene-3.57",".",23.817799,57.563309,125.020798,"S5",267.681534,0.189003961486522,"Nonbiased",0.46705051383933,0.53294948616067,0.727630410739042,0.272369589260958
"95",25,"C1","-",5836905,5839800,"Bo1g017140.1",5,2526,"Bo1g017140",".",5.209818,4.078521,3.606509,"maker-A01-augustus-gene-3.58-mRNA-1",3560,29,"1","-",315651,321539,7,4777,"maker-A01-augustus-gene-3.58",".",6.628909,16.020874,34.795471,"S5",38.40198,-2.95803132610543,"Nonbiased",0.906085337266464,0.0939146627335361,0.722310050109732,0.277689949890268
"96",26,"C1","+",5848621,5849420,"Bo1g017150.1",3,432,"Bo1g017150",".",4385.388672,3433.114014,3035.795898,"maker-A01-augustus-gene-3.52-mRNA-1",637,30,"1","+",333263,334328,3,695,"maker-A01-augustus-gene-3.52",".",1388.35022,3355.391357,7287.518555,"S5",10323.314453,-1.26307565724231,"Nonbiased",0.705928177251466,0.294071822748534,0.714941120673895,0.285058879326105
"97",27,"C1","-",5849819,5850888,"Bo1g017160.1",5,528,"Bo1g017160",".",307.725342,240.903656,213.023621,"maker-A01-augustus-gene-3.59-mRNA-1",749,31,"1","-",333286,335900,6,1752,"maker-A01-augustus-gene-3.59",".",189.215912,457.300629,993.203613,"S5",1206.227234,-2.21577131577689,"Nonbiased",0.82339677384535,0.17660322615465,0.704234732224182,0.295765267775818
"98",30,"C1","-",5901607,5910755,"Bo1g017260.1",39,4518,"Bo1g017260",".",10.011018,7.837154,6.930151,"maker-A01-augustus-gene-3.62-mRNA-1",4570,34,"1","-",358383,367651,35,4857,"maker-A01-augustus-gene-3.62",".",2.060605,4.98011,10.816217,"S5",17.746368,-0.575347983941305,"Nonbiased",0.609489051506201,0.390510948493799,0.701364114738918,0.298635885261082
"99",31,"C1","-",5912137,5914847,"Bo1g017270.1",13,1209,"Bo1g017270",".",42.439205,33.223652,29.378643,"maker-A01-augustus-gene-3.63-mRNA-1",1770,35,"1","-",369156,372193,13,1566,"maker-A01-augustus-gene-3.63",".",0.673599,1.627967,3.535754,"S5",32.914397,2.74364312488252,"Nonbiased",0.107422718392805,0.892577281607195,0.691100064828394,0.308899935171606
"100",32,"C1","-",5918951,5919410,"Bo1g017280.1",2,345,"Bo1g017280",".",11.97971,9.378349,8.292983,"maker-A01-augustus-gene-3.64-mRNA-1",457,36,"1","-",375652,376373,2,606,"maker-A01-augustus-gene-3.64",".",0.615489,1.487526,3.230732,"S5",11.523715,1.13523446906577,"Nonbiased",0.280355076466226,0.719644923533774,0.685490493042163,0.314509506957837
"101",34,"C1","-",5939308,5943351,"Bo1g017300.1",13,1743,"Bo1g017300",".",42.933964,33.610977,29.721142,"snap_masked-A01-processed-gene-3.50-mRNA-1",1510,38,"1","-",384196,388925,15,2177,"snap_masked-A01-processed-gene-3.50",".",6.15605,14.87806,32.313412,"S5",62.034554,-0.116871277654027,"Nonbiased",0.520893758662309,0.479106241337691,0.683467811665521,0.316532188334479
