"","TO1000ID","TO1000Chr","TO1000Strand","TO1000Start","TO1000Stop","TO1000_tName","TO1000Exons","TO1000Length","TO1000GeneID","TO1000GeneName","TO1000Cov","TO1000FPKM","TO1000TPM","R500_tName","BlockSize","R500ID","R500Chr","R500Strand","R500Start","R500Stop","R500Exons","R500Length","R500GeneID","R500GeneName","R500Cov","R500FPKM","R500TPM","Generation","SumTPM","L2FC","Bias","R500TPMRatio","TO1000TPMRatio","R500RollMeanTPM","TO1000RollMeanTPM"
"84",1,"C1","+",5435589,5442355,"Bo1g016640.1",11,1422,"Bo1g016640",".",0.407876,0.276848,0.241989,"maker-A01-augustus-gene-0.51-mRNA-1",2130,1,"1","+",1305,6877,12,2553,"maker-A01-augustus-gene-0.51",".",24.017906,45.919327,105.04541,"S5",105.287399,-6.41588597131878,"Bna Biased",0.997701633791903,0.00229836620809675,0.997357322762734,0.00264267723726561
"85",2,"C1","+",5461837,5462922,"Bo1g016650.1",1,1086,"Bo1g016650",".",0.129834,0.088126,0.077029,"augustus_masked-A01-processed-gene-0.1-mRNA-1",1590,2,"1","+",16285,17370,1,1086,"augustus_masked-A01-processed-gene-0.1",".",24.405157,46.659706,106.739113,"S5",106.816142,-6.64434118632002,"Bna Biased",0.999278863675867,0.000721136324133482,0.9972080147154,0.00279198528460032
"86",4,"C1","-",5480095,5481217,"Bo1g016670.1",6,639,"Bo1g016670",".",3.064163,2.079818,1.817937,"maker-A01-augustus-gene-0.62-mRNA-1",949,4,"1","-",29338,31121,8,1096,"maker-A01-augustus-gene-0.62",".",14.844125,28.380171,64.922699,"S5",66.740636,-4.54806404729052,"Bna Biased",0.97276116757413,0.0272388324258702,0.997112981625313,0.00288701837468733
"87",6,"C1","+",5614836,5616285,"Bo1g016790.1",5,1014,"Bo1g016790",".",0.294872,0.200146,0.174945,"maker-A01-augustus-gene-1.37-mRNA-1",1460,10,"1","+",185882,187705,5,1388,"maker-A01-augustus-gene-1.37",".",7.995677,15.286767,34.970127,"S5",35.145072,-4.9361341233004,"Bna Biased",0.995022203966462,0.00497779603353779,0.996958147391614,0.00304185260838547
"88",7,"C1","-",5641517,5644944,"Bo1g016860.1",6,3036,"Bo1g016860",".",4.973064,3.375495,2.950469,"augustus_masked-A01-processed-gene-2.1-mRNA-1",4190,11,"1","-",186529,196269,16,6880,"augustus_masked-A01-processed-gene-2.1",".",213.022125,407.272522,931.679749,"S5",934.630218,-7.8832140423737,"Bna Biased",0.996843169690882,0.00315683030911804,0.996958147391614,0.00304185260838547
"89",12,"C1","-",5692709,5693155,"Bo1g016940.1",1,447,"Bo1g016940",".",0,0,0,"augustus_masked-A01-processed-gene-2.10-mRNA-1",515,16,"1","-",219387,219734,1,348,"augustus_masked-A01-processed-gene-2.10",".",31.594826,60.405483,138.184052,"S5",138.184052,-7.12085010341381,"Bna Biased",1,0,0.996173159976279,0.00382684002372076
"90",13,"C1","-",5726750,5734100,"Bo1g016960.1",14,4290,"Bo1g016960",".",0.862612,0.585503,0.511779,"maker-A01-snap-gene-2.84-mRNA-1",2530,17,"1","-",225384,234248,16,5831,"maker-A01-snap-gene-2.84",".",6.28525,12.016637,27.489353,"S5",28.001132,-4.23610369893458,"Bna Biased",0.981722917487764,0.0182770825122356,0.995666376355377,0.00433362364462291
"91",15,"C1","-",5737458,5743192,"Bo1g016980.1",18,4239,"Bo1g016980",".",0,0,0,"maker-A01-augustus-gene-2.68-mRNA-1",6340,19,"1","-",237020,243232,18,4734,"maker-A01-augustus-gene-2.68",".",3.013984,5.762372,13.182048,"S5",13.182048,-3.82599397909362,"Bna Biased",1,0,0.995666376355377,0.00433362364462291
"92",17,"C1","+",5755040,5756359,"Bo1g017000.1",2,1257,"Bo1g017000",".",0.703374,0.477419,0.417305,"maker-A01-snap-gene-2.76-mRNA-1",824,21,"1","+",251928,254245,4,1856,"maker-A01-snap-gene-2.76",".",20.845631,39.854324,91.171051,"S5",91.588356,-6.02309154080583,"Bna Biased",0.995443689370295,0.00455631062970494,0.995613951938793,0.00438604806120702
"93",21,"C1","-",5792760,5794095,"Bo1g017060.1",8,627,"Bo1g017060",".",0,0,0,"maker-A01-augustus-gene-2.73-mRNA-1",920,25,"1","-",282067,284033,8,1287,"maker-A01-augustus-gene-2.73",".",3.512807,6.716062,15.363715,"S5",15.363715,-4.03242841062689,"Bna Biased",1,0,0.995204194451595,0.0047958055484052
"94",24,"C1","-",5828291,5830640,"Bo1g017120.1",5,1086,"Bo1g017120",".",4.151934,2.818149,2.463301,"maker-A01-augustus-gene-3.57-mRNA-1",541,28,"1","-",312276,312931,2,569,"maker-A01-augustus-gene-3.57",".",52.076496,99.563957,227.763275,"S5",230.226576,-6.04556387486702,"Bna Biased",0.989300535833882,0.0106994641661178,0.995171081784107,0.0048289182158931
"95",25,"C1","-",5836905,5839800,"Bo1g017140.1",5,2526,"Bo1g017140",".",0.217786,0.147823,0.12921,"maker-A01-augustus-gene-3.58-mRNA-1",3560,29,"1","-",315651,321539,7,4777,"maker-A01-augustus-gene-3.58",".",13.644137,26.085939,59.674393,"S5",59.803603,-5.74770205519525,"Bna Biased",0.997839427835142,0.00216057216485769,0.994907283439032,0.00509271656096761
"96",26,"C1","+",5848621,5849420,"Bo1g017150.1",3,432,"Bo1g017150",".",66.354164,45.038261,39.36726,"maker-A01-augustus-gene-3.52-mRNA-1",637,30,"1","+",333263,334328,3,695,"maker-A01-augustus-gene-3.52",".",3452.630127,6601.010742,15100.523438,"S5",15139.890698,-8.54729271564318,"Bna Biased",0.997399765904175,0.00260023409582478,0.994842558478003,0.00515744152199676
"97",27,"C1","-",5849819,5850888,"Bo1g017160.1",5,528,"Bo1g017160",".",4.761364,3.231802,2.824869,"maker-A01-augustus-gene-3.59-mRNA-1",749,31,"1","-",333286,335900,6,1752,"maker-A01-augustus-gene-3.59",".",525.898132,1005.453552,2300.083496,"S5",2302.908365,-9.23268728109523,"Bna Biased",0.998773347197425,0.00122665280257471,0.994672331081668,0.00532766891833203
"98",30,"C1","-",5901607,5910755,"Bo1g017260.1",39,4518,"Bo1g017260",".",0,0,0,"maker-A01-augustus-gene-3.62-mRNA-1",4570,34,"1","-",358383,367651,35,4857,"maker-A01-augustus-gene-3.62",".",4.474252,8.554229,19.568718,"S5",19.568718,-4.3623799717507,"Bna Biased",1,0,0.994672331081668,0.00532766891833203
"99",31,"C1","-",5912137,5914847,"Bo1g017270.1",13,1209,"Bo1g017270",".",0,0,0,"maker-A01-augustus-gene-3.63-mRNA-1",1770,35,"1","-",369156,372193,13,1566,"maker-A01-augustus-gene-3.63",".",2.662053,5.089523,11.642833,"S5",11.642833,-3.66024787304579,"Bna Biased",1,0,0.994672331081668,0.00532766891833203
"100",34,"C1","-",5939308,5943351,"Bo1g017300.1",13,1743,"Bo1g017300",".",0.062201,0.042219,0.036903,"snap_masked-A01-processed-gene-3.50-mRNA-1",1510,38,"1","-",384196,388925,15,2177,"snap_masked-A01-processed-gene-3.50",".",8.184548,15.647865,35.796181,"S5",35.833084,-5.14920319507771,"Bna Biased",0.998970141671311,0.00102985832868865,0.994574309903177,0.00542569009682262
"101",35,"C1","-",5955533,5959095,"Bo1g017310.1",10,2415,"Bo1g017310",".",2.14608,1.456664,1.273248,"maker-A01-augustus-gene-4.55-mRNA-1",1480,39,"1","-",392572,395160,8,2001,"maker-A01-augustus-gene-4.55",".",12.936381,24.732796,56.578934,"S5",57.852182,-4.66271409082735,"Bna Biased",0.977991357352779,0.0220086426472212,0.994574309903177,0.00542569009682262
"102",37,"C1","+",5969146,5972207,"Bo1g017330.1",3,2091,"Bo1g017330",".",0,0,0,"maker-A01-augustus-gene-4.50-mRNA-1",2850,41,"1","+",405399,408945,3,2896,"maker-A01-augustus-gene-4.50",".",6.476411,12.382113,28.32542,"S5",28.32542,-4.87407986563315,"Bna Biased",1,0,0.994574309903177,0.00542569009682262
"103",38,"C1","-",5975483,5977907,"Bo1g017340.1",4,2214,"Bo1g017340",".",0,0,0,"maker-A01-augustus-gene-4.58-mRNA-1",3160,42,"1","-",411261,415276,5,3541,"maker-A01-augustus-gene-4.58",".",21.367741,40.852531,93.454567,"S5",93.454567,-6.56154864935131,"Bna Biased",1,0,0.994299819847626,0.00570018015237384
"104",40,"C1","-",5987907,5990779,"Bo1g017370.1",14,1458,"Bo1g017370",".",0,0,0,"snap_masked-A01-processed-gene-4.40-mRNA-1",1900,44,"1","-",422678,426007,14,2023,"snap_masked-A01-processed-gene-4.40",".",8.256855,15.786107,36.112423,"S5",36.112423,-5.21383028983197,"Bna Biased",1,0,0.994299819847626,0.00570018015237384
"105",44,"C1","-",6032269,6033840,"Bo1g017410.1",3,912,"Bo1g017410",".",0,0,0,"maker-A01-augustus-gene-4.61-mRNA-1",1290,48,"1","-",461988,465823,3,2429,"maker-A01-augustus-gene-4.61",".",7.340386,14.033929,32.104126,"S5",32.104126,-5.04893913635395,"Bna Biased",1,0,0.994271901157239,0.00572809884276055
"106",47,"C1","-",6044990,6046635,"Bo1g017440.1",3,1068,"Bo1g017440",".",0,0,0,"maker-A01-augustus-gene-4.63-mRNA-1",1530,50,"1","-",476327,479165,3,2248,"maker-A01-augustus-gene-4.63",".",12.484182,23.868244,54.601181,"S5",54.601181,-5.79704362180643,"Bna Biased",1,0,0.994128649056578,0.00587135094342207
"107",49,"C1","-",6067390,6069326,"Bo1g017500.1",8,1326,"Bo1g017500",".",0,0,0,"snap_masked-A01-processed-gene-5.18-mRNA-1",1190,53,"1","-",489381,493204,9,2588,"snap_masked-A01-processed-gene-5.18",".",8.040067,15.371634,35.164268,"S5",35.164268,-5.17649304529201,"Bna Biased",1,0,0.994128649056578,0.00587135094342207
"108",55,"C1","-",6108659,6110498,"Bo1g017600.1",9,699,"Bo1g017600",".",0.416309,0.282572,0.246992,"maker-A01-augustus-gene-5.41-mRNA-1",1050,59,"1","-",578064,580000,9,1187,"maker-A01-augustus-gene-5.41",".",9.451559,18.070236,41.337612,"S5",41.584604,-5.08541578344355,"Bna Biased",0.99406049411941,0.00593950588058985,0.993970705177711,0.00602929482228907
"109",56,"C1","+",6110856,6112758,"Bo1g017610.1",7,1239,"Bo1g017610",".",3.097659,2.102554,1.83781,"maker-A01-augustus-gene-5.35-mRNA-1",1490,60,"1","+",580298,582387,7,1467,"maker-A01-augustus-gene-5.35",".",16.226376,31.022865,70.968147,"S5",72.805957,-4.66450860810838,"Bna Biased",0.974757422665291,0.025242577334709,0.993895692115618,0.00610430788438227
"110",57,"C1","-",6113161,6114675,"Bo1g017620.1",8,609,"Bo1g017620",".",2.696223,1.830076,1.599642,"maker-A01-augustus-gene-5.42-mRNA-1",903,61,"1","-",580863,584478,8,2920,"maker-A01-augustus-gene-5.42",".",48.626534,92.96804,212.674408,"S5",214.27405,-6.36095735350809,"Bna Biased",0.992534597633265,0.0074654023667355,0.9939101148421,0.0060898851578996
"111",60,"C1","-",6128532,6131046,"Bo1g017650.1",8,1488,"Bo1g017650",".",0.370994,0.251814,0.220107,"maker-A01-augustus-gene-6.55-mRNA-1",2200,64,"1","-",601646,605202,8,2478,"maker-A01-augustus-gene-6.55",".",10.54092,20.152962,46.102074,"S5",46.322181,-5.27071100722724,"Bna Biased",0.995248345495649,0.00475165450435073,0.994409510021903,0.00559048997809729
"112",64,"C1","+",6184929,6188022,"Bo1g017720.1",9,1524,"Bo1g017720",".",0.895803,0.608031,0.531471,"maker-A01-augustus-gene-6.52-mRNA-1",960,68,"1","+",639933,641422,4,1243,"maker-A01-augustus-gene-6.52",".",15.574904,29.777332,68.118851,"S5",68.650322,-5.49608928162817,"Bna Biased",0.992258288315093,0.00774171168490659,0.994486217352675,0.00551378264732502
"113",69,"C1","-",6260664,6262220,"Bo1g017790.1",4,918,"Bo1g017790",".",0,0,0,"maker-A01-augustus-gene-6.60-mRNA-1",1380,73,"1","-",685611,687485,4,1243,"maker-A01-augustus-gene-6.60",".",4.379902,8.373842,19.156067,"S5",19.156067,-4.33314225192223,"Bna Biased",1,0,0.994549353958857,0.00545064604114266
"114",70,"C1","+",6263269,6264626,"Bo1g017800.1",7,855,"Bo1g017800",".",2.105072,1.428829,1.248918,"maker-A01-augustus-gene-7.49-mRNA-1",1150,74,"1","+",688145,689964,7,1320,"maker-A01-augustus-gene-7.49",".",6.989884,13.363811,30.571159,"S5",31.820077,-3.81130426032611,"Bna Biased",0.960750629233235,0.0392493707667646,0.994549353958857,0.00545064604114266
"115",71,"C1","-",6265162,6266597,"Bo1g017810.1",2,1311,"Bo1g017810",".",0.803781,0.545571,0.476875,"maker-A01-augustus-gene-7.57-mRNA-1",1920,75,"1","-",689572,691898,2,2198,"maker-A01-augustus-gene-7.57",".",4.193953,8.018331,18.342794,"S5",18.819669,-3.71117657288697,"Bna Biased",0.974660818954892,0.0253391810451076,0.994839882632298,0.00516011736770199
"116",72,"C1","-",6271121,6273028,"Bo1g017820.1",1,1908,"Bo1g017820",".",0,0,0,"snap_masked-A01-processed-gene-7.21-mRNA-1",841,76,"1","-",694488,696584,5,1491,"snap_masked-A01-processed-gene-7.21",".",4.616069,8.825364,20.188974,"S5",20.188974,-4.40524182696044,"Bna Biased",1,0,0.994839882632298,0.00516011736770199
"117",75,"C1","+",6324290,6325508,"Bo1g017890.1",3,966,"Bo1g017890",".",0.310559,0.210794,0.184252,"maker-A01-augustus-gene-7.52-mRNA-1",1340,79,"1","+",712854,714498,3,1399,"maker-A01-augustus-gene-7.52",".",16.029751,30.646944,70.108185,"S5",70.292437,-5.90796761918926,"Bna Biased",0.997378779170795,0.00262122082920528,0.994931008844892,0.00506899115510789
"118",77,"C1","+",6351950,6352558,"Bo1g017920.1",1,609,"Bo1g017920",".",2.307061,1.565931,1.368756,"maker-A01-snap-gene-7.64-mRNA-1",934,81,"1","+",740365,742870,2,684,"maker-A01-snap-gene-7.64",".",14.962254,28.606018,65.439346,"S5",66.808102,-4.8098363693966,"Bna Biased",0.979512125640091,0.0204878743599092,0.99485525828383,0.00514474171616952
"119",78,"C1","+",6359952,6361920,"Bo1g017930.1",8,1008,"Bo1g017930",".",0.321808,0.218429,0.190925,"maker-A01-augustus-gene-7.54-mRNA-1",1500,82,"1","+",745676,748614,10,1951,"maker-A01-augustus-gene-7.54",".",26.323099,50.32658,115.12748,"S5",115.318405,-6.60748303614983,"Bna Biased",0.998344366625605,0.00165563337439501,0.994614564374206,0.00538543562579389
"120",80,"C1","+",6403176,6403751,"Bo1g017970.1",1,576,"Bo1g017970",".",1.954861,1.326873,1.159799,"augustus_masked-A01-processed-gene-7.8-mRNA-1",821,84,"1","+",764781,765341,1,561,"augustus_masked-A01-processed-gene-7.8",".",19.839573,37.930859,86.770927,"S5",87.930726,-5.34477418409208,"Bna Biased",0.986810082746275,0.0131899172537254,0.994657775817503,0.00534222418249674
"121",81,"C1","-",6411420,6413180,"Bo1g017990.1",1,1761,"Bo1g017990",".",0.38728,0.262868,0.229769,"snap_masked-A01-processed-gene-7.47-mRNA-1",2620,85,"1","-",781174,783787,3,1917,"snap_masked-A01-processed-gene-7.47",".",16.180798,30.935726,70.768806,"S5",70.998575,-5.86689766908102,"Bna Biased",0.996763751948543,0.00323624805145737,0.99470978049942,0.00529021950058024
"122",82,"C1","+",6420011,6422112,"Bo1g018000.1",7,1215,"Bo1g018000",".",0.442798,0.300552,0.262708,"maker-A01-snap-gene-8.64-mRNA-1",813,86,"1","+",788036,790533,6,1140,"maker-A01-snap-gene-8.64",".",6.997125,13.377656,30.602829,"S5",30.865537,-4.64546074937294,"Bna Biased",0.991488630183236,0.0085113698167636,0.994686012105055,0.0053139878949446
"123",83,"C1","+",6438459,6440074,"Bo1g018010.1",4,684,"Bo1g018010",".",0,0,0,"maker-A01-snap-gene-8.65-mRNA-1",1040,87,"1","+",794843,797104,4,1272,"maker-A01-snap-gene-8.65",".",5.531998,10.57651,24.194908,"S5",24.194908,-4.65506028315827,"Bna Biased",1,0,0.994600417476424,0.00539958252357592
"124",84,"C1","-",6441707,6442627,"Bo1g018020.1",1,921,"Bo1g018020",".",0,0,0,"augustus_masked-A01-processed-gene-8.6-mRNA-1",1390,88,"1","-",800131,801051,1,921,"augustus_masked-A01-processed-gene-8.6",".",15.762215,30.135447,68.93808,"S5",68.93808,-6.12800628536823,"Bna Biased",1,0,0.994327807477405,0.00567219252259525
"125",86,"C1","+",6454426,6455302,"Bo1g018050.1",3,729,"Bo1g018050",".",0.759945,0.515817,0.450868,"maker-A01-augustus-gene-8.50-mRNA-1",863,90,"1","+",807479,809254,3,1625,"maker-A01-augustus-gene-8.50",".",20.930702,40.016968,91.543129,"S5",91.993997,-5.99513770500441,"Bna Biased",0.99509894107547,0.00490105892452961,0.994348404643979,0.00565159535602148
"126",88,"C1","+",6459810,6460939,"Bo1g018070.1",2,606,"Bo1g018070",".",0,0,0,"maker-A01-augustus-gene-8.51-mRNA-1",781,92,"1","+",812874,814382,2,831,"maker-A01-augustus-gene-8.51",".",10.882249,20.805542,47.594921,"S5",47.594921,-5.60273363030235,"Bna Biased",1,0,0.994788577496923,0.00521142250307705
"127",90,"C1","-",6515987,6518688,"Bo1g019150.1",9,1491,"Bo1g019150",".",0,0,0,"maker-A01-augustus-gene-8.57-mRNA-1",2260,94,"1","-",826537,829764,9,2158,"maker-A01-augustus-gene-8.57",".",7.98189,15.260407,34.909828,"S5",34.909828,-5.1663068377217,"Bna Biased",1,0,0.994199938286452,0.0058000617135478
"128",91,"C1","-",6522441,6525299,"Bo1g019160.1",10,1929,"Bo1g019160",".",0.371213,0.251963,0.220237,"maker-A01-augustus-gene-8.58-mRNA-1",2830,95,"1","-",834833,838098,10,2376,"maker-A01-augustus-gene-8.58",".",3.618678,6.918474,15.826756,"S5",16.046993,-3.78552378196299,"Bna Biased",0.986275497222439,0.0137245027775609,0.994103810444823,0.00589618955517748
"129",92,"C1","-",6576458,6579152,"Bo1g019180.1",9,1518,"Bo1g019180",".",0,0,0,"maker-A01-augustus-gene-8.59-mRNA-1",2210,96,"1","-",854719,858773,10,2278,"maker-A01-augustus-gene-8.59",".",7.486709,14.313682,32.744087,"S5",32.744087,-5.07656281473529,"Bna Biased",1,0,0.994103810444823,0.00589618955517748
"130",93,"C1","-",6604822,6607988,"Bo1g019190.1",5,1863,"Bo1g019190",".",0.322061,0.218601,0.191076,"augustus_masked-A01-processed-gene-8.16-mRNA-1",2790,97,"1","-",866289,870633,8,2522,"augustus_masked-A01-processed-gene-8.16",".",31.253054,59.752056,136.68927,"S5",136.880346,-6.85300685430194,"Bna Biased",0.998604065480664,0.0013959345193356,0.994103810444823,0.00589618955517748
"131",94,"C1","-",6622164,6625677,"Bo1g019220.1",3,3351,"Bo1g019220",".",0.396001,0.268788,0.234943,"maker-A01-augustus-gene-8.63-mRNA-1",3750,98,"1","-",877754,881630,3,3519,"maker-A01-augustus-gene-8.63",".",7.44608,14.236004,32.566391,"S5",32.801334,-4.76450106985034,"Bna Biased",0.992837394966924,0.00716260503307579,0.99252703899419,0.00747296100581006
"132",95,"C1","+",6633499,6637015,"Bo1g019230.1",8,2436,"Bo1g019230",".",0,0,0,"snap_masked-A01-processed-gene-8.28-mRNA-1",2750,99,"1","+",884205,888350,8,3128,"snap_masked-A01-processed-gene-8.28",".",4.647037,8.884572,20.324417,"S5",20.324417,-4.4144343943345,"Bna Biased",1,0,0.99252703899419,0.00747296100581006
"133",107,"C1","+",6862258,6863751,"Bo1g019480.1",7,945,"Bo1g019480",".",0.68228,0.463101,0.40479,"maker-A01-augustus-gene-10.58-mRNA-1",1320,111,"1","+",992150,994522,8,1710,"maker-A01-augustus-gene-10.58",".",11.627108,22.229622,50.852657,"S5",51.257447,-5.20599153126207,"Bna Biased",0.99210280605665,0.00789719394335032,0.992645829111802,0.00735417088819826
"134",108,"C1","-",6863934,6864278,"Bo1g019490.1",1,345,"Bo1g019490",".",0.765217,0.519395,0.453996,"maker-A01-snap-gene-10.87-mRNA-1",492,112,"1","-",993368,994573,3,1022,"maker-A01-snap-gene-10.87",".",17.056505,32.609974,74.598831,"S5",75.052827,-5.7002687204689,"Bna Biased",0.993950980687243,0.00604901931275687,0.993110128018719,0.00688987198128072
