"","TO1000ID","TO1000Chr","TO1000Strand","TO1000Start","TO1000Stop","TO1000_tName","TO1000Exons","TO1000Length","TO1000GeneID","TO1000GeneName","TO1000Cov","TO1000FPKM","TO1000TPM","R500_tName","BlockSize","R500ID","R500Chr","R500Strand","R500Start","R500Stop","R500Exons","R500Length","R500GeneID","R500GeneName","R500Cov","R500FPKM","R500TPM","Generation","SumTPM","L2FC","Bias","R500TPMRatio","TO1000TPMRatio","R500RollMeanTPM","TO1000RollMeanTPM"
"85",1,"C1","+",5435589,5442355,"Bo1g016640.1",11,1422,"Bo1g016640",".",38.70956,24.807821,21.34601,"maker-A01-augustus-gene-0.51-mRNA-1",2130,1,"1","+",1305,6877,12,2553,"maker-A01-augustus-gene-0.51",".",29.583185,46.550476,103.253227,"S5",124.599237,-2.22200288221565,"Nonbiased",0.828682658787068,0.171317341212932,0.859758798704839,0.140241201295161
"86",2,"C1","+",5461837,5462922,"Bo1g016650.1",1,1086,"Bo1g016650",".",9.094844,5.828619,5.015263,"augustus_masked-A01-processed-gene-0.1-mRNA-1",1590,2,"1","+",16285,17370,1,1086,"augustus_masked-A01-processed-gene-0.1",".",38.755985,60.984283,135.268738,"S5",140.284001,-4.50168299852016,"Bna Biased",0.964249216131211,0.0357507838687891,0.856032077370641,0.143967922629359
"87",4,"C1","-",5480095,5481217,"Bo1g016670.1",6,639,"Bo1g016670",".",54.600937,34.992142,30.109156,"maker-A01-augustus-gene-0.62-mRNA-1",949,4,"1","-",29338,31121,8,1096,"maker-A01-augustus-gene-0.62",".",16.765413,26.381132,58.515774,"S5",88.62493,-0.935932834834259,"Nonbiased",0.660263133635197,0.339736866364803,0.852386736528917,0.147613263471083
"88",6,"C1","+",5614836,5616285,"Bo1g016790.1",5,1014,"Bo1g016790",".",4.461538,2.859269,2.460272,"maker-A01-augustus-gene-1.37-mRNA-1",1460,10,"1","+",185882,187705,5,1388,"maker-A01-augustus-gene-1.37",".",6.085735,9.576178,21.240841,"S5",23.701113,-2.68425398948606,"Nonbiased",0.896195929701698,0.103804070298302,0.849094187349668,0.150905812650332
"89",7,"C1","-",5641517,5644944,"Bo1g016860.1",6,3036,"Bo1g016860",".",80.169899,51.37854,44.208908,"augustus_masked-A01-processed-gene-2.1-mRNA-1",4190,11,"1","-",186529,196269,16,6880,"augustus_masked-A01-processed-gene-2.1",".",115.589699,181.885605,403.438934,"S5",447.647842,-3.16124291184419,"Nonbiased",0.901241771204607,0.0987582287953931,0.845100176233229,0.154899823766771
"90",12,"C1","-",5692709,5693155,"Bo1g016940.1",1,447,"Bo1g016940",".",12.868009,8.24673,7.095938,"augustus_masked-A01-processed-gene-2.10-mRNA-1",515,16,"1","-",219387,219734,1,348,"augustus_masked-A01-processed-gene-2.10",".",42.655174,67.119835,148.87796,"S5",155.973898,-4.21044619437607,"Bna Biased",0.954505605803351,0.0454943941966495,0.843732339230062,0.156267660769938
"91",13,"C1","-",5726750,5734100,"Bo1g016960.1",14,4290,"Bo1g016960",".",4.389556,2.813138,2.420578,"maker-A01-snap-gene-2.84-mRNA-1",2530,17,"1","-",225384,234248,16,5831,"maker-A01-snap-gene-2.84",".",5.388706,8.479372,18.808023,"S5",21.228601,-2.53377286132385,"Nonbiased",0.885975623169892,0.114024376830108,0.834673030652678,0.165326969347322
"92",17,"C1","+",5755040,5756359,"Bo1g017000.1",2,1257,"Bo1g017000",".",11.424026,7.321323,6.299668,"maker-A01-snap-gene-2.76-mRNA-1",824,21,"1","+",251928,254245,4,1856,"maker-A01-snap-gene-2.76",".",15.695713,24.697912,54.782234,"S5",61.081902,-2.93390295879681,"Nonbiased",0.89686522859095,0.10313477140905,0.830891409237933,0.169108590762067
"93",21,"C1","-",5792760,5794095,"Bo1g017060.1",8,627,"Bo1g017060",".",32.671452,20.938175,18.016354,"maker-A01-augustus-gene-2.73-mRNA-1",920,25,"1","-",282067,284033,8,1287,"maker-A01-augustus-gene-2.73",".",2.17742,3.426268,7.599778,"S5",25.616132,1.14486934242907,"Nonbiased",0.296679373763377,0.703320626236623,0.830660868444877,0.169339131555123
"94",22,"C1","+",5794318,5795657,"Bo1g017070.1",8,501,"Bo1g017070",".",31.235529,20.017935,17.224527,"maker-A01-snap-gene-2.77-mRNA-1",625,26,"1","+",283768,286021,8,1468,"maker-A01-snap-gene-2.77",".",0,0,0,"S5",17.224527,4.18780946616881,"BnC Biased",0,1,0.829796615894723,0.170203384105277
"95",24,"C1","-",5828291,5830640,"Bo1g017120.1",5,1086,"Bo1g017120",".",99.997223,64.085289,55.142498,"maker-A01-augustus-gene-3.57-mRNA-1",541,28,"1","-",312276,312931,2,569,"maker-A01-augustus-gene-3.57",".",57.838745,91.011864,201.872681,"S5",257.015179,-1.85340944213432,"Nonbiased",0.785450422754992,0.214549577245008,0.828049533163815,0.171950466836185
